x, y, z
-0.076294, -0.061035, -0.381470
-0.148773, -0.198364, -0.743866
-0.248909, -0.423431, -1.030922
-0.354528, -0.622749, -1.093626
-0.449002, -0.863791, -1.003325
-0.489339, -0.998795, -1.057670
-0.504333, -1.069531, -1.144204
-0.591873, -1.168359, -1.132811
-0.657528, -1.166186, -1.093749
-0.630475, -1.179816, -0.942382
-0.640703, -1.159520, -0.783081
-0.724668, -0.930675, -0.739898
-0.772383, -0.789559, -0.799064
-0.731875, -0.515875, -0.904474
-0.625200, -0.173283, -0.953014
-0.606229, 0.037884, -0.958901
-0.576742, 0.333589, -0.902281
-0.585145, 0.723214, -0.844558
-0.469376, 0.908621, -0.969112
-0.275738, 1.078195, -1.077786
-0.161027, 1.281668, -1.189809
-0.258099, 1.266427, -1.289085
-0.437715, 1.285514, -1.180437
-0.465616, 1.238793, -1.205762
-0.456023, 1.112200, -1.301050
-0.464088, 1.078291, -1.357257
-0.485395, 0.900271, -1.429930
-0.562410, 0.629427, -1.423400
-0.681207, 0.273706, -1.342208
-0.663493, -0.023602, -1.388126
-0.650208, -0.170290, -1.483599
-0.701279, -0.249788, -1.631498
-0.724323, -0.416223, -1.620352
-0.756866, -0.480014, -1.566216
-0.781272, -0.619410, -1.434062
-0.753801, -0.678180, -1.289169
-0.717939, -0.569670, -1.134724
-0.630007, -0.427253, -1.003631
-0.533540, -0.366216, -0.996864
-0.461190, -0.228886, -1.007047
-0.498481, -0.110629, -0.816321
-0.511190, 0.130651, -0.719052
-0.429169, 0.418423, -0.752912
-0.367653, 0.557958, -0.854601
-0.336775, 0.723644, -1.007162
-0.450945, 0.954720, -1.060547
-0.521314, 0.975440, -1.024292
-0.528315, 0.914685, -1.042877
-0.533565, 0.899637, -1.133110
-0.522244, 0.857833, -1.429667
-0.529012, 0.795963, -1.667343
-0.488312, 0.596972, -1.693012
-0.518822, 0.295141, -1.544417
-0.617998, 0.022992, -1.478747
-0.631345, -0.226897, -1.475271
-0.687132, -0.307502, -1.411629
-0.698455, -0.413732, -1.363898
-0.691688, -0.722286, -1.328099
-0.762906, -0.907926, -1.270733
-0.831579, -1.047155, -1.105637
-0.837307, -1.197354, -1.119145
-0.673757, -1.172673, -1.129276
-0.596870, -1.001575, -1.106356
-0.554464, -0.964805, -1.165460
-0.629471, -0.937227, -1.072460
-0.639950, -0.657144, -0.895897
-0.556257, -0.416564, -0.839770
-0.508745, -0.068282, -0.828192
-0.412076, 0.360776, -0.819508
-0.446386, 0.545240, -0.782478
-0.441601, 0.698847, -0.586858
-0.422754, 0.829311, -0.485920
-0.408618, 0.866124, -0.608581
-0.382757, 1.061580, -0.807388
-0.409138, 1.147137, -1.063304
-0.383148, 1.073976, -1.270501
-0.424690, 0.988587, -1.334345
-0.471105, 0.832993, -1.321194
-0.566952, 0.685780, -1.494435
-0.654096, 0.636405, -1.624366
-0.612642, 0.446787, -1.706556
-0.596811, 0.182502, -1.844492
-0.600196, -0.092005, -1.780098
-0.755323, -0.374180, -1.594473
-0.780115, -0.433223, -1.455254
-0.798709, -0.508022, -1.350840
-0.705844, -0.548864, -1.364082
-0.636194, -0.503200, -1.297720
-0.583957, -0.591023, -1.095360
-0.529521, -0.519561, -0.943590
-0.488693, -0.343895, -0.875539
-0.458073, -0.196886, -0.885536
-0.450366, 0.081217, -0.984587
-0.444586, 0.381348, -0.982581
-0.444586, 0.381348, -0.982581
-0.287663, 0.453857, -0.935300
-0.261524, 0.691345, -1.067686
-0.333472, 0.808426, -1.228010
-0.372174, 1.094601, -1.302478
-0.385942, 1.034574, -1.343069
-0.350492, 0.806448, -1.312478
