x,	y,	z
11.35,	3.13,	6.60
11.84,	1.01,	4.71
11.96,	-4.87,	-1.63
11.53,	-0.13,	-0.59
8.47,	2.95,	0.53
7.41,	-0.78,	-1.40
9.51,	-1.15,	0.29
10.72,	1.40,	2.79
8.25,	-0.33,	5.11
8.60,	-2.27,	3.36
10.64,	1.56,	5.49
10.36,	0.59,	4.77
9.71,	-4.33,	-1.03
10.37,	0.42,	0.09
10.41,	1.21,	0.57
9.28,	-3.50,	-2.72
9.78,	-0.30,	1.12
12.28,	4.31,	2.46
10.26,	1.46,	5.82
8.44,	-5.53,	1.73
7.80,	0.44,	3.11
6.87,	4.72,	6.83
8.55,	-4.11,	-1.41
9.42,	-2.65,	0.47
12.53,	0.48,	1.06
12.81,	-0.49,	-0.53
10.79,	-1.49,	0.54
11.90,	0.11,	-0.39
9.40,	5.12,	4.38
7.55,	-0.62,	2.81
6.24,	-5.11,	-0.73
7.43,	2.48,	4.38
9.14,	1.81,	4.78
10.38,	-4.75,	0.94
13.29,	-2.60,	1.18
13.80,	2.23,	1.94
10.86,	0.06,	0.15
9.22,	-2.23,	-1.75
8.63,	2.86,	1.65
8.34,	2.70,	3.62
6.43,	-5.14,	0.77
8.39,	-2.19,	2.02
10.25,	4.32,	7.72
9.97,	-1.78,	4.54
11.11,	-4.54,	0.80
12.53,	1.99,	2.25
10.42,	1.22,	0.09
8.01,	-3.56,	-3.17
8.45,	1.07,	-0.56
9.77,	5.18,	3.28
9.84,	-3.01,	2.74
9.16,	-6.20,	1.04
10.17,	5.83,	6.73
9.10,	5.40,	8.36
8.64,	-9.06,	-2.20
10.62,	-4.44,	-1.12
10.36,	6.43,	4.36
10.23,	-0.88,	-0.42
10.09,	-5.07,	-2.92
10.86,	2.59,	1.52
10.70,	4.11,	4.77
9.87,	-3.51,	1.62
9.46,	-1.77,	1.53
8.27,	4.73,	6.02
6.12,	-2.54,	2.19
7.94,	-5.57,	-2.06
11.52,	2.69,	3.62
12.72,	1.39,	2.36
12.19,	-5.04,	-0.82
12.03,	-1.10,	-0.35
10.50,	6.28,	4.70
7.75,	0.35,	2.25
7.40,	-4.38,	-1.23
7.73,	1.90,	2.92
7.63,	0.85,	4.24
8.42,	-4.70,	1.47
10.94,	-3.28,	1.47
13.11,	2.64,	4.52
12.44,	-1.37,	1.43
10.93,	-3.28,	-2.25
10.69,	3.22,	0.30
8.05,	3.70,	2.47
7.23,	-3.85,	0.32
8.39,	-2.83,	0.84
9.15,	6.02,	6.80
9.36,	-0.55,	5.54
10.16,	-7.81,	0.14
11.57,	1.04,	4.36
11.44,	3.88,	3.67
9.64,	-1.65,	-1.66
8.92,	-2.94,	-2.23
9.03,	1.67,	-0.53
8.88,	2.85,	3.34
10.99,	-3.09,	0.21
11.41,	0.03,	2.72
8.91,	3.16,	7.16
7.84,	-2.76,	2.95
8.51,	-3.38,	1.85
10.25,	1.27,	2.20
10.04,	-0.07,	1.37
10.65,	-3.01,	-1.54
11.91,	0.20,	-0.47
11.07,	3.04,	2.17
9.38,	-1.78,	1.42
10.35,	-1.70,	0.46
8.89,	3.61,	5.65
7.10,	-0.84,	3.33
6.37,	-4.66,	0.76
8.57,	1.56,	2.42
10.68,	2.23,	4.16
11.83,	-5.62,	-0.51
13.78,	-2.34,	-0.51
13.04,	5.85,	3.44
8.94,	0.88,	1.51
7.44,	-4.04,	-1.60
8.01,	2.55,	2.85
7.66,	3.17,	4.56
7.24,	-5.41,	0.83
9.84,	-3.50,	1.48
12.12,	3.94,	6.04
11.89,	-0.66,	3.22
11.77,	-5.72,	-2.15
12.01,	1.64,	-0.37
8.98,	3.64,	2.12
7.42,	-3.47,	-2.07
8.74,	-0.34,	1.18
9.37,	4.72,	5.19
7.88,	-2.18,	4.55
9.18,	-4.80,	2.47
11.35,	2.54,	6.20
10.91,	0.64,	4.55
9.63,	-4.14,	-1.72
10.16,	1.40,	-0.06
9.58,	1.24,	-0.07
8.94,	-3.56,	-2.73
9.80,	-0.55,	1.39
11.34,	4.14,	3.08
10.11,	1.19,	5.78
8.40,	-5.86,	1.45
8.66,	0.63,	3.72
7.87,	4.46,	7.04
9.15,	-3.22,	-1.18
10.63,	-3.43,	0.93
12.50,	0.35,	-0.63
12.34,	1.89,	1.75
10.45,	-2.00,	0.01
10.41,	-1.29,	-0.25
9.18,	4.57,	5.22
7.63,	-0.91,	3.30
7.10,	-4.30,	-0.18
7.78,	2.04,	4.30
8.57,	0.53,	3.01
10.30,	-3.53,	0.35
13.11,	-1.22,	1.45
14.21,	1.09,	1.16
10.97,	-0.58,	0.89
9.32,	-1.47,	-1.15
8.09,	5.02,	2.81
6.73,	3.07,	4.10
7.33,	-6.60,	-0.47
8.75,	-2.11,	2.00
10.45,	4.63,	7.21
10.53,	-2.64,	3.18
12.23,	-4.45,	-0.09
12.55,	2.23,	2.15
10.25,	1.98,	0.04
8.51,	-2.66,	-1.70
8.80,	-0.55,	-0.99
8.79,	4.37,	3.90
8.33,	-1.43,	3.39
9.07,	-4.78,	1.86
10.64,	3.72,	7.05
9.80,	2.14,	7.19
9.57,	-7.18,	-1.80
10.58,	-0.60,	0.11
10.05,	4.14,	2.36
9.37,	-3.20,	-2.98
10.01,	-2.66,	-1.23
11.23,	3.63,	2.09
9.70,	1.60,	4.24
9.82,	-3.44,	1.18
9.36,	0.57,	3.26
8.14,	2.80,	5.20
7.02,	-3.86,	1.03
8.92,	-2.83,	-0.19
12.01,	3.11,	3.69
12.13,	-1.30,	1.08
12.27,	-3.87,	-0.95
12.06,	2.21,	1.32
9.13,	4.28,	4.06
7.34,	-1.78,	1.29
7.48,	-2.04,	1.11
7.56,	2.05,	3.88
7.22,	-1.63,	3.33
8.47,	-5.43,	0.70
12.30,	1.30,	3.25
13.02,	3.33,	4.34
12.27,	-4.88,	-1.71
12.07,	-3.65,	-2.28
9.34,	5.65,	2.54
7.24,	3.04,	2.41
7.19,	-3.30,	-1.03
9.02,	0.95,	2.93
9.34,	0.99,	5.70
8.95,	-4.76,	3.03
11.67,	-1.65,	2.72
12.44,	3.54,	4.42
10.93,	-1.16,	-0.16
9.74,	-3.30,	-2.49
9.36,	0.79,	0.00
8.31,	1.07,	0.61
8.10,	-1.87,	1.36
9.51,	-0.02,	2.16
10.60,	4.50,	5.65
8.92,	-1.43,	5.06
9.35,	-7.43,	1.22
9.81,	0.03,	3.16
10.19,	4.86,	3.66
9.69,	-1.63,	-0.41
10.56,	-4.93,	-2.77
11.69,	1.59,	0.37
10.86,	4.05,	3.38
9.88,	-2.24,	0.93
9.78,	-0.48,	1.83
8.52,	3.61,	5.90
6.57,	-2.41,	2.69
7.42,	-4.41,	0.43
9.71,	2.88,	3.07
11.17,	1.44,	3.20
12.26,	-5.78,	-1.52
13.44,	-0.52,	0.11
12.50,	5.60,	3.82
8.50,	-0.93,	0.42
7.70,	-2.07,	-0.82
7.69,	4.07,	4.36
6.82,	-0.58,	3.55
7.35,	-6.46,	0.56
9.76,	-0.07,	3.03
11.96,	3.95,	5.80
12.41,	-3.61,	0.90
12.80,	-4.30,	-1.76
12.21,	2.97,	1.02
8.57,	2.16,	0.71
6.83,	-2.49,	-1.15
8.16,	1.47,	1.65
8.33,	4.29,	5.95
9.01,	-5.59,	2.31
9.94,	-5.73,	1.45
11.19,	5.18,	7.20
10.96,	1.70,	4.32
10.47,	-4.65,	-2.46
10.35,	-0.11,	-0.41
9.40,	1.15,	-0.65
8.73,	-1.87,	-0.91
9.38,	-0.93,	0.76
10.30,	3.78,	3.85
8.96,	0.97,	6.17
9.45,	-5.00,	1.34
10.32,	-0.35,	4.73
9.33,	0.44,	4.28
8.91,	-1.13,	-0.14
9.89,	1.29,	1.64
12.06,	-0.85,	-0.75
11.08,	-2.72,	-0.11
11.20,	-0.05,	0.63
10.93,	4.73,	2.97
7.95,	1.55,	4.89
6.81,	-5.30,	0.48
7.27,	-0.77,	3.14
7.47,	3.08,	5.31
9.50,	-2.29,	1.03
11.16,	-2.43,	1.27
13.74,	-0.87,	0.89
13.51,	-0.53,	0.14
11.07,	-0.51,	0.44
10.47,	0.59,	-0.34
7.20,	4.31,	3.63
5.98,	0.22,	2.78
7.54,	-5.27,	0.07
8.98,	-0.18,	3.33
9.65,	2.45,	6.00
11.33,	-2.81,	2.21
13.22,	-2.57,	0.85
13.23,	0.46,	0.85
9.96,	-0.03,	-0.74
8.87,	-0.66,	-1.60
7.91,	2.09,	0.88
7.74,	1.72,	3.57
7.86,	-3.72,	2.03
10.47,	-1.23,	2.99
10.90,	2.83,	6.80
9.59,	-2.44,	3.75
10.20,	-3.47,	0.26
10.92,	2.75,	1.76
9.98,	0.17,	-0.23
9.47,	-4.63,	-3.47
10.68,	0.69,	0.01
10.61,	5.33,	3.83
8.48,	-0.94,	3.55
8.78,	-3.62,	1.78
9.79,	3.05,	5.57
8.66,	1.39,	5.52
8.35,	-7.49,	-1.54
9.54,	-1.47,	-0.33
10.83,	6.78,	4.92
11.37,	-2.28,	-0.52
11.91,	-6.16,	-2.51
12.46,	3.70,	2.28
8.72,	5.42,	5.59
6.78,	-3.83,	0.52
7.23,	-0.79,	1.84
7.72,	4.00,	6.22
6.83,	-4.01,	1.45
9.38,	-4.25,	0.38
13.22,	2.97,	3.85
14.07,	0.31,	2.41
12.12,	-5.49,	-2.08
12.13,	0.52,	-0.36
9.36,	6.56,	4.49
5.74,	-1.74,	1.66
6.46,	-3.85,	-0.99
8.48,	5.21,	5.34
9.02,	-1.42,	4.17
9.01,	-8.34,	-0.13
12.30,	2.24,	4.53
13.07,	4.52,	4.85
11.07,	-4.37,	-2.82
9.75,	-2.69,	-2.14
9.28,	3.36,	0.15
