x,	y,	z
10.93,	0.86,	1.45
10.89,	-1.65,	-2.50
11.69,	4.46,	0.42
9.58,	1.79,	2.59
9.50,	-3.06,	-1.43
10.41,	3.45,	6.63
9.51,	-2.15,	3.61
8.24,	-4.81,	2.40
7.44,	2.29,	4.58
7.39,	-0.47,	2.10
9.24,	-4.39,	-1.49
10.62,	-0.45,	1.19
13.34,	3.45,	0.44
13.04,	3.45,	2.99
11.93,	-3.05,	-0.26
11.02,	0.12,	1.91
8.31,	4.01,	5.29
6.97,	-1.83,	2.39
5.43,	-4.16,	1.57
6.04,	-0.58,	2.98
8.60,	0.62,	2.05
10.58,	-2.00,	2.15
15.18,	-2.66,	-2.10
15.88,	5.94,	3.00
11.46,	-0.28,	1.16
10.38,	-2.68,	-2.74
7.61,	4.15,	5.32
6.00,	-1.48,	0.99
6.27,	-2.64,	2.21
7.01,	-0.25,	4.36
8.97,	-1.28,	2.56
10.37,	0.10,	3.94
13.53,	-0.40,	1.61
14.15,	-0.01,	0.31
11.15,	1.75,	1.18
10.37,	0.92,	-0.48
8.17,	0.27,	0.97
7.55,	-1.81,	0.88
7.82,	-2.32,	3.79
8.30,	-0.96,	4.26
8.81,	1.61,	5.52
9.38,	-0.66,	4.26
10.78,	-2.72,	-0.16
11.48,	1.24,	0.42
10.77,	1.44,	-1.09
10.77,	-0.18,	-1.37
11.36,	-0.40,	0.00
10.36,	0.87,	1.70
9.78,	1.08,	4.59
9.54,	-1.48,	3.51
8.75,	-0.60,	3.68
7.43,	-0.79,	3.19
6.95,	-1.83,	0.50
8.27,	-1.73,	1.56
12.34,	-0.86,	-1.95
13.21,	4.01,	2.68
12.36,	-1.96,	-0.32
13.51,	0.28,	-0.61
9.84,	3.41,	6.36
7.74,	-2.94,	0.34
6.34,	0.87,	4.50
5.99,	0.14,	3.68
6.28,	-4.73,	0.14
8.70,	-0.34,	2.56
11.85,	-0.11,	1.36
14.77,	0.09,	-0.02
13.78,	-0.10,	2.98
13.34,	-0.33,	-1.76
9.23,	5.72,	5.09
6.82,	-1.74,	0.85
6.00,	-3.38,	0.15
7.09,	1.89,	5.13
7.27,	-2.01,	2.08
7.98,	-2.64,	3.49
11.61,	-0.13,	3.37
13.18,	1.49,	1.83
12.62,	1.43,	2.08
11.75,	-2.11,	-1.90
10.55,	2.98,	0.74
9.03,	2.45,	1.71
7.08,	-4.06,	0.37
7.86,	-1.18,	3.26
8.69,	-0.14,	5.76
8.19,	-3.18,	3.62
9.82,	1.35,	4.57
10.39,	-0.19,	2.67
11.21,	-2.33,	-3.30
10.52,	2.59,	1.40
11.26,	-0.96,	-2.45
12.70,	1.92,	-0.45
9.86,	-0.11,	4.44
9.93,	-5.65,	-1.13
9.22,	5.90,	8.08
7.87,	1.42,	5.37
7.03,	-6.64,	-1.47
6.66,	-0.15,	3.48
9.08,	0.52,	0.63
10.66,	-1.23,	0.22
13.51,	-1.49,	0.18
14.98,	1.35,	-0.16
11.63,	4.36,	4.65
10.10,	-1.58,	1.23
7.89,	-0.08,	3.07
6.34,	2.22,	4.53
4.60,	-3.78,	1.73
6.45,	-3.09,	1.24
9.69,	0.02,	3.67
11.70,	-1.51,	0.85
13.38,	2.09,	4.10
13.80,	-1.17,	1.64
13.76,	2.55,	-0.21
9.93,	5.99,	5.03
6.49,	-4.32,	-2.59
6.70,	-1.67,	0.57
6.79,	1.77,	5.32
7.30,	-5.07,	1.26
8.11,	-1.31,	3.46
10.62,	2.21,	5.55
11.92,	-2.96,	0.42
12.77,	1.58,	1.65
12.35,	3.22,	0.93
11.12,	1.39,	-1.67
8.89,	-0.09,	1.47
8.79,	-3.22,	-1.19
8.40,	3.06,	4.69
7.99,	-0.53,	5.58
