x, y, z
-0.183105, 1.586914, -1.220703
0.061035, 1.342773, -1.220703 
-0.122070, 1.586914, -1.464844
-0.732422, 1.098633, -1.342773
-0.854492, 0.854492, -1.098633
-0.427246, 0.854492, -1.464844
-0.061035, 0.427246, -1.708984
-0.244141, 0.183105, -1.953125
-0.488281, 0.000000, -1.892090
-0.793457, -0.488281, -1.525879
-0.610352, -1.098633, -0.793457
-0.427246, -0.976562, -0.793457
-0.305176, -0.610352, -1.342773
-0.732422, -1.159668, -1.159668
-0.488281, -1.342773, -1.220703
-0.610352, -1.281738, -0.549316
-0.732422, -1.342773, -0.244141
-0.610352, -0.610352, -0.854492
-0.671387, 0.549316, -0.610352
-0.610352, 0.183105, -0.793457
-0.610352, 0.122070, -1.037598
-0.366211, 0.976562, -0.854492
-0.610352, 0.671387, -0.305176
-0.427246, 1.159668, -0.732422
0.061035, 1.403809, -1.098633
0.183105, 1.464844, -1.220703
-0.183105, 1.831055, -2.014160
-0.366211, 1.403809, -1.525879
-0.366211, 1.647949, -1.159668
-0.122070, 1.342773, -1.525879
-0.122070, 1.159668, -2.319336
-0.244141, 1.220703, -2.502441
-0.549316, 1.281738, -2.014160
-0.427246, 0.732422, -1.586914
-0.732422, -0.122070, -1.220703
-0.732422, -0.488281, -1.647949
-0.854492, -0.610352, -1.525879
-0.854492, -0.915527, -0.976562
-0.671387, -0.427246, -0.549316
-0.488281, -0.854492, -0.549316
-0.427246, -1.464844, -0.183105
-0.671387, -1.159668, -0.305176
-0.732422, -0.732422, -0.488281
-0.549316, -1.159668, -0.854492
-0.610352, -0.915527, -1.037598
-0.793457, -0.732422, -1.220703
-0.976562, -0.854492, -0.854492
-0.610352, 0.427246, -0.671387
-0.183105, 0.549316, -1.159668
0.061035, 0.793457, -1.281738
-0.305176, 1.281738, -1.220703
-0.671387, 0.793457, -0.976562
-0.183105, 1.159668, -0.427246
-0.183105, 1.159668, -0.427246
-0.183105, 1.403809, -1.220703
-0.488281, 0.976562, -1.464844
-0.183105, 1.037598, -1.770020
-0.366211, 0.549316, -1.647949
-0.549316, -0.122070, -0.915527
-0.488281, 0.305176, -1.525879
-0.610352, -0.610352, -1.953125
-0.610352, -0.610352, -1.892090
-0.427246, -0.854492, -1.770020
-0.427246, -1.159668, -1.159668
-0.488281, -1.770020, -0.976562
-0.915527, -1.281738, -0.610352
-0.915527, -1.220703, -0.793457
-0.610352, -1.525879, -0.488281
-0.427246, -0.793457, -0.427246
-0.488281, 0.061035, -0.427246
-0.305176, -0.732422, 0.061035
-0.305176, -0.366211, -0.244141
-0.305176, 0.000000, -0.305176
0.061035, 0.976562, -0.793457
0.061035, 1.403809, -1.037598
-0.305176, 1.464844, -1.098633
-0.183105, 1.464844, -0.915527
-0.122070, 1.586914, -0.976562
-0.122070, 1.708984, -2.014160
-0.610352, 1.403809, -2.197266
-0.305176, 1.708984, -2.136230
-0.183105, 1.342773, -2.197266
-0.244141, 0.671387, -1.953125
-0.488281, 0.793457, -1.647949
-0.549316, 0.549316, -1.770020
-0.305176, 0.671387, -1.708984
0.000000, 0.305176, -1.647949
-0.549316, -0.244141, -1.342773
-0.671387, -0.732422, -0.793457
-0.732422, -0.305176, -0.061035
-0.305176, -0.732422, -0.549316
-0.244141, -1.281738, -1.098633
-0.549316, -0.732422, -1.281738
-0.610352, -0.915527, -0.915527
-0.732422, -0.427246, -0.305176
-0.549316, -0.427246, -0.427246
-0.183105, -0.793457, -0.976562
-0.183105, -0.488281, -1.159668
-0.183105, 0.000000, -0.915527
-0.122070, 0.793457, -0.549316
-0.427246, 0.793457, -0.427246
-0.671387, 0.488281, -0.366211
-0.244141, 1.403809, -1.098633
-0.427246, 1.037598, -0.976562
-0.244141, 1.220703, -0.976562
-0.244141, 1.281738, -1.281738
0.061035, 0.549316, -0.915527
-0.305176, 0.366211, -0.915527
-0.671387, 0.183105, -1.037598
-0.549316, 0.488281, -1.586914
-0.305176, 0.366211, -2.014160
-0.854492, -0.305176, -2.075195
-1.037598, -0.549316, -1.831055
-1.037598, -0.854492, -1.098633
-0.488281, -1.220703, -1.159668
-0.488281, -0.976562, -1.342773
-0.610352, -0.610352, -1.525879
-0.610352, -0.976562, -1.342773
-0.427246, -0.671387, -0.976562
-0.488281, -0.366211, 0.183105
-0.366211, -0.366211, -0.122070
-0.366211, 0.122070, -1.159668
-0.671387, 0.061035, -0.793457
-0.427246, 0.366211, -0.671387
-0.427246, 0.366211, -0.305176
-0.488281, 0.671387, 0.061035
-0.244141, 0.854492, -0.793457
-0.366211, 0.976562, -1.464844
-0.610352, 1.647949, -1.403809
-0.183105, 1.281738, -1.525879
-0.366211, 0.793457, -1.464844
-0.122070, 1.159668, -0.915527
-0.427246, 0.488281, -1.708984
-0.366211, 0.671387, -1.892090
-0.305176, 0.915527, -2.014160
-0.366211, 0.183105, -2.136230
-0.549316, -0.305176, -1.708984
-0.976562, -0.793457, -0.671387
-0.305176, -0.305176, -1.098633
-0.305176, -0.488281, -1.403809
-0.305176, -0.488281, -1.586914
-0.671387, -0.427246, -0.976562
-0.427246, -0.610352, -0.915527
-0.488281, -1.403809, -0.610352
-0.549316, -0.915527, -0.671387
-0.366211, 0.061035, -0.915527
-0.793457, 0.122070, -0.671387
-0.610352, 0.488281, -1.037598
-0.671387, -0.122070, -1.098633
-0.427246, 0.549316, -0.610352
-0.488281, 1.098633, -0.610352
-0.366211, 1.403809, -1.220703
-0.244141, 1.647949, -1.403809
-0.244141, 0.976562, -1.159668
-0.122070, 1.281738, -1.281738
-0.366211, 1.403809, -0.549316
-0.549316, 1.281738, -0.732422
-0.122070, 1.098633, -1.281738
-0.305176, 1.037598, -1.342773
-0.183105, 0.244141, -1.586914
-0.488281, 0.000000, -1.281738
-0.854492, -0.488281, -0.793457
-0.610352, -0.915527, -1.159668
-0.732422, -0.610352, -1.708984
-0.915527, -0.183105, -2.075195
-0.732422, -1.098633, -1.770020
-0.915527, -0.610352, -1.342773
-0.854492, -1.220703, -0.915527
-0.610352, -1.831055, -0.976562
-0.793457, -0.671387, -1.220703
-0.671387, -0.244141, -0.793457
-0.183105, -0.244141, -0.915527
-0.549316, 0.061035, -0.671387
-0.366211, -0.244141, -0.183105
-0.793457, -0.122070, 0.061035
-0.366211, 1.098633, 0.183105
-0.061035, 0.976562, -0.366211
-0.122070, 1.098633, -0.732422
-0.366211, 1.770020, -1.098633
-0.610352, 0.976562, -0.976562
-0.305176, 1.525879, -0.610352
0.000000, 1.098633, -1.281738
-0.183105, 0.793457, -1.647949
-0.366211, 0.793457, -1.953125
-0.671387, 0.061035, -2.258301
-0.488281, 0.244141, -1.831055
-0.732422, -0.122070, -1.281738
-0.549316, -0.366211, -2.380371
-0.610352, -0.549316, -2.502441
-0.793457, -0.183105, -1.525879
-0.671387, -0.732422, -1.342773
-0.793457, -0.854492, -0.854492
-0.488281, -0.854492, -1.159668
-0.549316, -0.793457, -0.976562
-0.549316, -0.549316, -0.732422
-0.488281, -0.488281, -0.671387
0.000000, -0.366211, -0.732422
-0.244141, -0.183105, -0.732422
-0.915527, -0.122070, -0.244141
-0.671387, 0.793457, -0.549316
0.061035, 0.854492, -0.671387
0.305176, 0.488281, -1.281738
0.305176, 1.098633, -1.281738
-0.122070, 0.671387, -0.915527
-0.305176, 1.159668, -0.305176
-0.244141, 1.464844, -0.915527
0.244141, 1.037598, -1.403809
-0.244141, 1.647949, -1.586914
-0.366211, 1.403809, -1.403809
-0.244141, 0.671387, -1.281738
-0.488281, 0.366211, -1.159668
-0.244141, 0.427246, -1.220703
-0.488281, -0.183105, -1.831055
-0.854492, 0.305176, -1.342773
-0.488281, -0.549316, -1.342773
-0.854492, -1.037598, -1.281738
-0.915527, -0.976562, -0.854492
-1.159668, -1.098633, -0.793457
-1.037598, -0.793457, -1.159668
-0.305176, -1.220703, -1.525879
-0.610352, -0.976562, -1.708984
-0.732422, -0.122070, -1.342773
-0.610352, -0.183105, -0.244141
-0.488281, -0.183105, -0.671387
0.000000, 15.380859, -0.854492
0.244141, 0.671387, -0.854492
0.000000, 0.915527, -0.610352
-0.488281, 1.098633, -0.244141
-0.122070, 1.281738, 0.366211
-0.244141, 0.854492, 0.000000
0.122070, 1.220703, -1.098633
-0.183105, 1.586914, -1.464844
-0.427246, 0.976562, -1.647949
-0.244141, 0.915527, -1.770020
-0.122070, 0.549316, -1.220703
0.183105, 0.854492, -1.770020
-0.793457, 0.305176, -2.075195
-0.488281, 0.732422, -1.708984
-0.122070, 0.366211, -2.014160
-0.610352, -0.854492, -1.831055
-1.037598, -0.976562, -1.403809
-0.732422, -0.671387, -0.915527
-0.549316, -0.671387, -1.037598
-0.427246, -0.549316, -1.037598
-0.427246, -0.732422, -1.281738
-0.549316, -1.342773, -0.854492
-0.549316, -0.854492, 0.122070
-0.610352, -0.610352, -0.427246
-0.549316, -0.549316, -1.281738
-0.366211, 0.366211, -1.342773
-0.732422, 0.427246, -1.037598
-0.305176, 0.549316, -1.464844
-0.122070, 0.854492, -0.610352
-0.122070, 1.342773, -0.488281
0.000000, 1.464844, -1.098633
-0.366211, 1.281738, -1.281738
-0.427246, 1.586914, -1.220703
-0.122070, 2.075195, -1.037598
-0.366211, 1.403809, -0.732422
-0.427246, 1.220703, -1.159668
-0.610352, 1.159668, -1.525879
-0.610352, 0.671387, -1.281738
-0.366211, 0.427246, -1.098633
-0.549316, 0.061035, -1.342773
-0.549316, -0.244141, -1.342773
-0.610352, -0.427246, -0.793457
-0.610352, -0.244141, -1.342773
-0.671387, -0.915527, -1.953125
-0.610352, -0.671387, -1.953125
-0.976562, -1.281738, -1.708984
-0.976562, -1.586914, -0.793457
-0.671387, -1.098633, -0.488281
-0.366211, -0.732422, -0.854492
-0.366211, -0.122070, -1.159668
-0.244141, -0.061035, -0.549316
-0.305176, -0.061035, -0.610352
-0.183105, 0.000000, -0.244141
-0.122070, 0.305176, -0.122070
-0.244141, 1.220703, -0.976562
-0.549316, 1.342773, -1.159668
-0.061035, 1.586914, -1.098633
-0.122070, 1.525879, -1.403809
-0.122070, 1.098633, -1.281738
-0.305176, 1.464844, -1.220703
-0.488281, 1.159668, -1.525879
-0.244141, 1.098633, -1.647949
-0.244141, 0.488281, -1.831055
-0.061035, 0.183105, -1.953125
-0.610352, -15.502930, -1.464844
-0.671387, -0.061035, -1.342773
-0.732422, -0.610352, -1.708984
-0.244141, -1.281738, -1.708984
-0.671387, -0.549316, -1.159668
-0.732422, -1.037598, -0.915527
-0.549316, -0.915527, -0.366211
-0.610352, -1.220703, -0.183105
-0.488281, -1.342773, -0.366211
-0.549316, -1.098633, -1.098633
-0.488281, -0.793457, -1.220703
-0.305176, -0.488281, -1.220703
-0.488281, -0.244141, -0.854492
-0.427246, 0.000000, -0.610352
-0.488281, 0.366211, -1.281738
-0.488281, 0.915527, -0.854492
0.183105, 1.464844, -0.976562
0.305176, 1.281738, -0.915527
-0.061035, 1.586914, -0.915527
-0.366211, 1.525879, -0.793457
-0.366211, 1.953125, -1.037598
-0.183105, 1.831055, -1.159668
0.183105, 1.342773, -1.708984
-0.061035, 1.464844, -2.014160
-0.488281, 0.610352, -1.831055
-0.732422, 0.793457, -1.037598
-0.488281, 0.366211, -1.159668
-0.549316, -0.122070, -1.892090
-0.488281, -0.305176, -1.831055
-1.037598, -0.488281, -1.403809
-0.671387, -0.488281, -1.281738
-0.671387, -0.427246, -0.427246
-0.732422, -0.854492, -1.098633
-0.671387, -1.098633, -1.342773
-0.671387, -0.732422, -0.610352
-0.061035, -0.549316, -0.915527
-0.366211, -1.098633, -0.366211
-0.732422, -0.610352, -0.244141
-0.915527, -0.427246, -0.183105
-0.610352, 0.122070, -0.244141
0.122070, 0.671387, -0.427246
0.122070, 0.610352, -0.854492
-0.061035, 0.793457, -0.793457
