x, y, z
-0.244141, 0.183105, -1.525879
-0.305176, 0.488281, -1.464844
-0.183105, 0.488281, -1.220703
-0.427246, 0.061035, -0.732422
-0.488281, -0.122070, -0.671387
-0.427246, 0.244141, -0.854492
-0.305176, 0.488281, -1.403809
-0.427246, 0.427246, -1.525879
-0.671387, 0.244141, -1.220703
-0.488281, 0.122070, -1.159668
-0.488281, -0.061035, -0.732422
-0.488281, 0.061035, -0.854492
-0.244141, 0.244141, -1.220703
-0.244141, 0.122070, -1.159668
-0.427246, 0.244141, -1.220703
-0.488281, 0.061035, -0.854492
-0.549316, 0.000000, -0.976562
-0.366211, 0.244141, -1.281738
-0.488281, 0.427246, -1.647949
-0.427246, 0.305176, -1.647949
-0.488281, 0.183105, -1.647949
-0.305176, 0.244141, -1.159668
-0.305176, -0.183105, -0.793457
-0.366211, 0.366211, -1.098633
-0.427246, 0.488281, -1.464844
-0.366211, 0.488281, -1.342773
-0.610352, 0.183105, -1.220703
-0.366211, 0.305176, -1.098633
-0.671387, 0.305176, -0.671387
-0.427246, 0.183105, -1.037598
0.000000, 0.549316, -1.098633
-0.244141, 0.549316, -1.159668
-0.366211, 0.366211, -1.403809
-0.244141, 0.122070, -0.915527
-0.549316, 0.000000, -0.610352
-0.610352, 0.183105, -0.793457
-0.549316, 0.244141, -1.220703
-0.305176, 0.244141, -1.342773
-0.122070, 0.305176, -1.525879
-0.305176, 0.244141, -1.403809
-0.427246, -0.244141, -0.671387
-0.488281, -0.183105, -0.915527
-0.427246, 0.305176, -1.220703
-0.366211, 0.305176, -1.342773
-0.366211, 0.244141, -1.464844
-0.305176, 0.427246, -1.220703
-0.305176, 0.183105, -0.488281
-0.488281, 0.366211, -0.549316
-0.244141, 0.427246, -1.159668
-0.366211, 0.366211, -1.098633
-0.427246, 0.122070, -1.464844
-0.366211, -0.122070, -1.342773
-0.488281, -0.122070, -0.671387
-0.488281, 0.000000, -0.854492
-0.671387, 0.122070, -1.159668
-0.549316, 0.427246, -1.281738
-0.427246, 0.122070, -1.281738
-0.427246, -0.061035, -1.220703
-0.488281, -0.244141, -0.732422
-0.488281, 0.183105, -1.098633
-0.366211, 0.366211, -1.220703
-0.671387, 0.366211, -1.647949
-0.305176, 0.488281, -1.586914
-0.488281, 0.061035, -1.342773
-0.427246, -15.563965, -0.732422
-0.366211, 15.380859, -1.159668
-0.549316, 0.366211, -1.403809
-0.793457, 0.122070, -1.220703
-0.488281, 0.366211, -1.281738
-0.549316, 0.061035, -1.159668
-0.305176, 0.000000, -0.549316
-0.549316, 0.305176, -0.488281
-0.549316, 0.366211, -0.976562
-0.488281, 0.366211, -1.281738
-0.549316, 0.244141, -1.159668
-0.488281, 0.183105, -1.403809
-0.610352, 0.000000, -0.976562
-0.366211, -0.183105, -0.549316
-0.183105, 0.305176, -1.281738
-0.183105, 0.549316, -1.586914
-0.305176, 0.244141, -1.464844
-0.366211, 0.061035, -1.281738
-0.244141, 0.000000, -1.037598
-0.366211, 0.244141, -0.915527
-0.366211, 0.305176, -1.403809
-0.488281, 0.305176, -1.586914
-0.183105, 0.244141, -1.525879
-0.183105, 0.183105, -1.403809
-0.305176, 0.000000, -1.037598
-0.793457, -0.061035, -0.976562
-0.427246, -0.061035, -1.037598
-0.366211, 0.244141, -1.281738
-0.366211, 0.366211, -1.281738
-0.488281, 0.183105, -1.159668
-0.488281, -15.625000, -0.732422
-0.732422, 15.258789, -0.732422
-0.488281, 0.183105, -1.342773
-0.488281, 0.061035, -1.464844
-0.366211, 0.427246, -1.403809
-0.305176, 0.305176, -1.342773
-0.366211, 0.244141, -0.671387
-0.549316, -0.061035, -0.671387
-0.305176, 0.427246, -1.098633
-0.305176, 0.366211, -1.281738
-0.427246, 0.244141, -1.281738
-0.427246, 0.366211, -1.220703
-0.427246, 0.122070, -1.220703
-0.671387, -0.244141, -0.732422
-0.549316, 0.122070, -0.976562
-0.488281, 0.244141, -1.159668
-0.488281, 0.000000, -1.403809
-0.610352, 0.183105, -1.464844
-0.427246, -0.122070, -1.098633
